KEY_CODE,T000751001,T000751002,T000751003,T000751004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
52390080,20,11,9,8
52390090,40,20,20,17
52390249,9,4,5,6
52390259,2,1,1,1
52390268,12,6,6,8
52390278,432,212,220,207
52390279,59,26,33,18
52390288,117,60,57,43
52390289,2,2,0,2
52390298,657,322,335,307
52390299,266,126,140,107
52390312,47,24,23,24
52390313,300,144,156,125
52390314,472,257,215,173
52390322,374,186,188,154
52390323,337,162,175,149
52390324,413,215,198,171
52390325,621,292,329,286
52390330,75,37,38,32
52390331,113,59,54,44
52390333,323,176,147,76
52390335,114,58,56,64
52390380,1,1,0,1
52391000,795,386,409,269
52391001,188,99,89,66
52391011,314,151,163,106
52391012,41,26,15,25
52391013,284,145,139,122
52391020,316,157,159,85
52391022,1768,857,911,653
52391023,5169,2421,2748,1788
52391030,87,42,45,25
52391031,126,65,61,41
52391032,454,209,245,107
52391033,481,237,244,181
52391044,175,85,90,56
52391051,10,6,4,6
52391054,149,74,75,56
52391062,87,40,47,24
52391063,403,193,210,125
52391064,1515,701,814,546
52391065,336,160,176,123
52391073,194,89,105,66
52391074,1125,572,553,439
52391075,1041,483,558,408
52391083,36,19,17,16
52391084,1095,519,576,427
52391085,634,307,327,280
52391090,16,8,8,6
52391093,38,20,18,16
52391094,108,53,55,42
52391095,235,116,119,107
52391096,158,80,78,74
52391208,1150,588,562,540
52391209,225,104,121,93
52391218,594,298,296,243
52391219,3,1,2,1
52391228,215,111,104,85
52391229,282,122,160,70
52391238,271,141,130,125
52391239,339,170,169,140
52391248,127,64,63,50
52391249,185,92,93,73
52391258,127,62,65,52
52391259,30,13,17,12
52391302,35,16,19,18
52391320,34,16,18,14
52391321,23,10,13,10
52391322,16,9,7,8
52391324,16,7,9,4
52391330,359,168,191,147
52391332,55,31,24,23
52391333,267,124,143,126
52391334,5,2,3,2
52391340,64,29,35,31
52391341,402,205,197,199
52391342,42,22,20,19
52391343,81,37,44,34
52392000,25,11,14,10
52392005,260,126,134,89
52392014,5,4,1,1
52392015,674,316,358,213
52392016,89,43,46,34
52392024,10,7,3,5
52392035,112,52,60,60
52392036,117,61,56,35
52392037,352,158,194,160
52392045,3,1,2,2
52392046,135,60,75,63
52392047,393,183,210,156
52392048,1194,577,617,432
52392049,358,102,256,77
52392053,24,7,17,14
52392057,195,91,104,65
52392058,1292,612,680,513
52392059,506,240,266,214
52392062,9,5,4,5
52392067,61,21,40,26
52392068,673,307,366,313
52392069,341,153,188,139
52392072,65,34,31,58
52392075,6,3,3,2
52392076,589,285,304,165
52392077,417,211,206,165
52392078,622,290,332,275
52392079,217,106,111,83
52392081,2,2,0,2
52392083,22,9,13,9
52392088,361,165,196,181
52392089,528,257,271,223
52392096,17,8,9,6
52392098,409,179,230,190
52392099,106,52,54,42
52392150,68,31,37,28
52392160,259,117,142,115
52392170,414,193,221,123
52392180,1204,548,656,377
52392181,78,40,38,21
52392190,654,296,358,220
52392687,330,148,182,122
52392689,475,207,268,169
52392695,136,61,75,48
52392696,52,23,29,18
52392697,231,103,128,88
52392698,262,124,138,92
52392699,540,246,294,192
52392780,631,296,335,222
52392781,1081,488,593,417
52392782,477,214,263,189
52392790,223,97,126,77
52392791,319,148,171,126
52392792,699,318,381,232
52392793,775,346,429,265
52392794,144,67,77,48
52393000,259,133,126,58
52393001,254,162,92,42
52393002,16,8,8,5
52393007,625,310,315,211
52393008,277,126,151,104
52393009,151,71,80,57
52393010,341,174,167,87
52393011,161,61,100,149
52393017,1887,903,984,596
52393018,122,49,73,30
52393019,714,338,376,235
52393025,32,16,16,10
52393026,1110,559,551,373
52393027,1981,957,1024,670
52393028,11,6,5,4
52393029,1547,775,772,589
52393030,64,24,40,37
52393031,118,58,60,30
52393032,446,229,217,112
52393036,534,229,305,211
52393037,1099,537,562,374
52393038,445,227,218,143
52393039,2311,1109,1202,814
52393040,138,70,68,41
52393041,17,8,9,5
52393042,213,98,115,49
52393045,74,30,44,39
52393046,1712,802,910,718
52393047,2579,1246,1333,1090
52393048,2824,1382,1442,1043
52393049,2657,1274,1383,964
52393050,262,113,149,62
